firebase_id,prolific_id,condition_name,visualization_condition,prompt_order,s2_prompt_type,pre_predictability,pre_negative_predictability,pre_trust,final_predictability_post,final_negative_predictability_post,final_trust_post,shift_predictability,shift_neg_predictability,shift_trust,final_viz_helpfulness,final_viz_anticipation,final_viz_prediction,final_viz_referenced,final_viz_confidence,final_viz_frequency,final_viz_comprehension,final_drift_panel_helpful,final_ueq_obstructive_supportive,final_ueq_complicated_easy,final_ueq_inefficient_efficient,final_ueq_confusing_clear,final_ueq_boring_exciting,final_ueq_not_interesting_interesting,final_ueq_conventional_inventive,final_ueq_usual_leading_edge,ueq_pragmatic,ueq_hedonic,ueq_overall
RYEkjMTx3CMbFsznRIrVkJmVgd73,69ad70ad170abae499d1e32f,control,0,asst_first,ROLEPLY,5,5,4,4.0,2.0,5.0,-1.0,-3.0,1.0,,,,,,,,,,,,,,,,,,,
Rbkx1RPXo4Z4ygvUrm1zM76cQ9n1,69c6ca332d4fc794bae6059d,multi_turn,2,asst_first,ROLEPLY,5,2,1,1.0,1.0,1.0,-4.0,-1.0,0.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0
Rgxht52N5eejJmXOMr1fI2RQ5Wn1,645906dc264ac9eb66b7f3ec,control,0,roleply_first,ASST,3,2,2,1.0,1.0,3.0,-2.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,
SSHAfwqkePT8SikqI9jDen8dVpx1,5753046ba6deb50006d64b0f,single_turn,1,asst_first,ROLEPLY,4,4,5,4.0,4.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.5
T9jicUDlUlciZUsWtllHpgpU2lJ2,673a37f0ad04c995c8322ca6,single_turn,1,roleply_first,ASST,2,2,5,3.0,4.0,6.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,2.25,5.0,3.625
TH0VXXBnoASY2Zza4GqaKBGfmf42,69a26ca7254273cdad33b66e,control,0,asst_first,ROLEPLY,5,4,3,4.0,2.0,3.0,-1.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,
TLQrYmAaVQMZoWLjOrVo0XWUSOp2,67171fa93cd108b6c2b59e4e,multi_turn,2,roleply_first,ASST,5,5,4,5.0,4.0,4.0,0.0,-1.0,0.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.75,5.5,5.625
Td9n0qlW2IO2i6yL9abVzHxyEuy2,67e1da8a432675c0e850e8d1,control,0,roleply_first,ASST,6,6,4,6.0,6.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
ThFxXTsKI5eM8JQhLyrCIWpYrJY2,6744d14f9c134abbd6aea580,control,0,roleply_first,ASST,6,6,5,6.0,4.0,4.0,0.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,
VU2UUWm1wsO802PpDtulDZXxGtW2,69bc4a5a75e354d36da3b4df,control,0,asst_first,ROLEPLY,4,5,4,4.0,1.0,6.0,0.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,
Vx6m0jK46ScyphmFEiJAtBmx1Ue2,63e5e4a0e6325fe0fabe8ee6,single_turn,1,roleply_first,ASST,5,6,2,3.0,2.0,1.0,-2.0,-4.0,-1.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,,3.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,2.75,3.5,3.125
XsCFdDYWLZaybw3YjUi781hvlbx2,695bddfb9e66423579686e83,single_turn,1,roleply_first,ASST,2,2,4,2.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,,4.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,2.25,4.0,3.125
YWAEaICBzsghx1wsNxSWGVSvEOC2,69b0ce357d4709c2de1b703b,control,0,asst_first,ROLEPLY,7,7,4,7.0,7.0,7.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,
YpB2zoHObdbv8T8PokU35nOHUWi2,5591cd21fdf99b63126f6c60,multi_turn,2,roleply_first,ASST,3,3,5,5.0,4.0,5.0,2.0,1.0,0.0,7.0,7.0,7.0,7.0,6.0,3.0,7.0,7.0,5.0,7.0,7.0,6.0,4.0,4.0,2.0,3.0,6.25,3.25,4.75
avwCp1Wx0aMvroHhDotMR0ZQfe52,69c7ade94acd3f067e172288,single_turn,1,asst_first,ROLEPLY,5,2,1,5.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,7.0,,4.0,7.0,4.0,6.0,2.0,2.0,2.0,3.0,5.25,2.25,3.75
